"filename", "language", "JavaScript", "JSON", "Properties", "CSS", "Markdown", "HTML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Profile\Page\ShowComments.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -27, -5, -8, -40
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Profile\Pannel\ProfilePannel.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -27, 0, -27
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Profile\Pannel\ProfilePannel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -38, 0, -9, -47
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Profile\Preview\Profile.css", "CSS", 0, 0, 0, -122, 0, 0, 0, 0, -4, -126
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Shelter\SFollow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -93, -2, -10, -105
"c:\Users\mess\Documents\Projects\aapv2\client\src\components\Shelter\ShelterPreView.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -148, -1, -10, -159
"c:\Users\mess\Documents\Projects\aapv2\client\src\globalStyles.js", "JavaScript", -9, 0, 0, 0, 0, 0, 0, 0, -4, -13
"c:\Users\mess\Documents\Projects\aapv2\client\src\index.css", "CSS", 0, 0, 0, -12, 0, 0, 0, 0, -2, -14
"c:\Users\mess\Documents\Projects\aapv2\client\src\index.js", "JavaScript", -12, 0, 0, 0, 0, 0, 0, -3, -5, -20
"c:\Users\mess\Documents\Projects\aapv2\client\src\reportWebVitals.js", "JavaScript", -12, 0, 0, 0, 0, 0, 0, 0, -2, -14
"c:\Users\mess\Documents\Projects\aapv2\client\src\setupTests.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, -4, -1, -6
"c:\Users\mess\Documents\Projects\aapv2\client\src\views\Preview\ProfileView.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -41, 0, -6, -47
"c:\Users\mess\Documents\Projects\aapv2\client\src\views\Preview\ShelterView.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -41, 0, -9, -50
"c:\Users\mess\Documents\Projects\aapv2\client\src\views\Preview\User2UserView.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -53, 0, -9, -62
"c:\Users\mess\Documents\Projects\aapv2\client\src\views\Shelter\CreateProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -146, -3, -21, -170
"c:\Users\mess\Documents\Projects\aapv2\client\src\views\Shelter\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -48, -5, -7, -60
"c:\Users\mess\Documents\Projects\aapv2\client\src\views\Shelter\Profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -39, -1, -7, -47
"c:\Users\mess\Documents\Projects\aapv2\client\src\views\Shelter\ShelterEdit.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -59, -3, -11, -73
"c:\Users\mess\Documents\Projects\aapv2\client\src\views\Shelter\ShelterLogReg.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -95, -3, -15, -113
"c:\Users\mess\Documents\Projects\aapv2\client\src\views\Shelter\UploadShelterPic.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -30, -5, -7, -42
"c:\Users\mess\Documents\Projects\aapv2\client\src\views\User\BrowseHome.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -29, -1, -6, -36
"c:\Users\mess\Documents\Projects\aapv2\client\src\views\User\Edit.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -59, -3, -12, -74
"c:\Users\mess\Documents\Projects\aapv2\client\src\views\User\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -29, -1, -8, -38
"c:\Users\mess\Documents\Projects\aapv2\client\src\views\User\SFview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -28, 0, -5, -33
"c:\Users\mess\Documents\Projects\aapv2\client\src\views\User\UFview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -28, 0, -7, -35
"c:\Users\mess\Documents\Projects\aapv2\client\src\views\User\UploadProPic.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -27, -5, -7, -39
"c:\Users\mess\Documents\Projects\aapv2\client\src\views\User\UserLogReg.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -99, -3, -13, -115
"c:\Users\mess\Documents\Projects\aapv2\server\.env", "Properties", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\mess\Documents\Projects\aapv2\server\config\db.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\mess\Documents\Projects\aapv2\server\index.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 13, 36
"c:\Users\mess\Documents\Projects\aapv2\server\package-lock.json", "JSON", 0, 2901, 0, 0, 0, 0, 0, 0, 1, 2902
"c:\Users\mess\Documents\Projects\aapv2\server\package.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 24, 47
"c:\Users\mess\Documents\Projects\aapv2\server\routes\Profile.js", "JavaScript", 210, 0, 0, 0, 0, 0, 0, 7, 35, 252
"c:\Users\mess\Documents\Projects\aapv2\server\routes\Shelter.js", "JavaScript", 302, 0, 0, 0, 0, 0, 0, 8, 33, 343
"c:\Users\mess\Documents\Projects\aapv2\server\routes\User.js", "JavaScript", 529, 0, 0, 0, 0, 0, 0, 15, 78, 622
"Total", "-", 1031, -37991, 5, -1307, -38, -22, -6136, -530, -623, -45611
